latitude,longitude,mg,diff
24.13,123.21,5.59,1.1
22.76,121.66,5.69,5.77
24.13,122.25,6.08,7.23
20.73,122,5.98,1.5
22.78,121.35,6.2,0.43
24.34,122.43,5.7,2.7
24.11,122.24,5.8,2.2
22.36,121.77,5.52,0.6
22.3,121.1,5.9,1.47
23.6,123.74,5.63,0.83
24.3,122.41,5.5,1.03
23.99,121.91,6.17,1.7
24.9,121.99,5.6,0.37
21.97,121.39,5.81,0.33
23.02,121.4,6.2,2.2
22.64,122.07,6.9,0.13
20.98,120.28,6.4,0
20.89,120.31,5.81,0.57
22.63,122.27,7.3,0
23.11,121.97,7.11,0.1
20.96,120.06,6.05,2.67
24.17,122.54,6.3,0.23
23.56,121.54,7,0
23.74,121.59,5.62,0.1
24.04,122.43,5.62,0.27
23.07,121.38,5.62,0.23
24.54,121.62,5.7,0.9
21.09,120.21,5.63,3.53
22.41,121.12,6.3,0.03
22.32,121.09,5.85,0.13
22.21,121.2,5.6,1.4
23.94,121.54,5.58,0.03
23.9,121.56,6.1,0.4
23.95,121.66,5.8,2.83
22.29,121.55,5.9,1.33
23.42,123.96,6,0.03
24.32,123.56,5,0.03
23.34,123.76,6,0.87
24.01,121.51,5.2,2.2
23.39,123.49,5.2,0.07
22.86,121.38,5.2,0.77
24.08,122.31,5.4,0
21.83,121.29,5,0.17
22.13,121.48,5.6,0.67
23.33,123.57,5.4,1.53
23.9,121.63,5.1,2.13
22.98,121.65,5,1.4
23.46,121.43,5.1,0.37
23.77,121.58,5.1,0
23.88,121.57,5,3.03
23.26,121.66,5,0.23
22.3,121.49,5.5,0.07
24.04,122.76,5,3.1
24.57,122.69,6,0.13
23.99,122.36,5.1,0.37
23.83,121.56,5,1.63
23.15,121.37,5.3,1.27
20.57,121.19,5.5,0.17
23.49,123.75,5.4,2.43
25.35,123.12,5,1.13
24.35,122.51,5.1,0.43
22.74,122.8,6.6,0.27
22.77,122.91,5.5,0.07
22.64,122.97,5,0.87
24.02,122.4,5,0.83
22.76,122.58,5.4,0
22.7,122.57,6.2,0.23
22.7,122.85,5.2,0.37
22.67,122.66,5.2,0.47
22.92,123,5.5,0.07
23.89,121.68,5.1,0.5
24.08,122.4,5.1,0.3
24.05,121.71,5.2,0.63
22.61,122.39,5,3.23
24.33,121.63,5.2,1.77
23.91,122.45,5.1,0.7
23.83,123.67,5.4,0.7
24.02,122.64,5,0.23
23.02,121.69,5.8,0.87
24.28,121.8,5.7,0.83
23.22,120.75,5.5,0.23
24,122.31,5.4,1.4
25.29,122.2,5.4,0.23
22.67,120.82,5.1,2.7
24.94,122.24,5,0.2
24.91,122.3,5.1,0.17
24.37,121.81,5.3,0.03
23.97,122.62,5.1,0.9
24.54,121.86,5,3.07
21.17,120.28,5.7,0.43
20.98,120.34,5.2,0.03
23.76,121.92,5.3,0.53
20.89,120.23,5.2,2.3
25.25,123.16,5,2.77
23.92,123.54,5.3,0.23
24.05,122.21,5.7,3.2
22.61,121.61,5.5,0.3
22.43,121.45,5.1,0.63
24.81,123.02,5,0.87
23.05,121.4,5.1,0.43
24.18,121.69,5.2,1.23
23.58,121.71,5,0.27
24.15,122.66,5.7,1.13
24.07,122.64,5.5,0.83
22.73,121.12,5.7,0.7
24.66,122.72,5.8,1.03
24.38,121.99,5,1.8
22.28,121.51,7.4,0
22.67,121.12,5,0
22.3,121.32,5.1,0
22.29,121.41,5,0
21.95,121.52,5.1,0.03
21.95,121.47,5.2,0
22.24,121.57,5.5,0
22.14,121.44,5.4,0.03
22.35,121.39,5.2,0.5
23.51,121.46,5.5,0
25.12,120.8,5.3,0.13
22.23,121.52,5.4,0.43
22.05,121.52,5.2,0.23
24.9,121.99,6.1,0.1
23.95,121.69,5.3,0.1
24.12,121.86,5,0.07
24.18,121.78,5.1,0
24.14,121.88,5,0
24.14,121.73,5,0
24.12,121.71,5.4,0.03
24.12,121.77,5.2,1.9
24.08,122.65,5.4,1.17
21.95,123.81,5.6,0.37
23.25,122.08,7,0
23.36,121.89,5,0
23.05,121.87,5,0.1
22.91,121.7,5.3,0.27
21.95,120.72,5.1,1.1
24.16,123.8,5.4,0.9
24.35,123.58,5.2,2.27
24.07,122.6,5,0.7
23.67,122.69,5,0.03
22.42,121.54,5.1,1.6
23.23,121.68,5.1,1.43
23.15,121.63,5,0.4
22.63,120.1,5.2,0.83
